Company Name,Ticker,Market Cap (mil)
"ATA Inc.","AACG","17.71"
"AAC Holdings, Inc.","AACH","5.53"
"Altisource Asset Management Corp","AAMC","17.73"
"Atlantic American Corporation","AAME","45.06"
"Applied Optoelectronics, Inc.","AAOI","111.27"
"AA PLC","AATDF","234.12"
"Almaden Minerals, Ltd.","AAU","31.76"
"Advantage Oil & Gas Ltd","AAVVF","130.85"
"ABCO Energy, Inc.","ABCE",".07"
"AmBase Corp.","ABCP","8.96"
"Abeona Therapeutics Inc.","ABEO","86.96"
"Ability Inc.","ABILF","1.89"
"ARCA biopharma, Inc.","ABIO","3.7"
"American Biltrite Inc.","ABLT","10.81"
"American Bio Medica Corp.","ABMC","2.44"
"Advanced Biomedical Technologies, Inc.","ABMT","2.38"
"Arbutus Biopharma Corporation","ABUS","82.73"
"Ecology Coatings Inc.","ABVC","54.57"
"Airborne Wireless Network","ABWN",".49"
"Atlantic Capital Bancshares, Inc.","ACBI","213.96"
"Acacia Diversified Holdings Inc.","ACCA",".44"
"Opexa Therapeutics, Inc.","ACER","20.39"
"Aceto Corporation","ACETQ","3.54"
"Acorn Energy Inc.","ACFN","5.99"
"Achieve Life Sciences, Inc.","ACHV","2.52"
"AC Immune  SA","ACIU","286.46"
"ACM Research, Inc.","ACMR","281.76"
"Acmat Corp.","ACMT","26.91"
"Acmat Corp.","ACMTA","26.71"
"ACNB Corporation","ACNB","143.4"
"Acorda Therapeutics, Inc.","ACOR","37.27"
"Ares Commercial Real Estate Corporation","ACRE","143.57"
"Aclaris Therapeutics, Inc.","ACRS","31.15"
"AcelRx Pharmaceuticals, Inc.","ACRX","66.96"
"Acasti Pharma, Inc.","ACST","23.04"
"Acacia Research Corporation","ACTG","101.25"
"Acme United Corporation.","ACU","59.6"
"Acura Pharmaceuticals, Inc.","ACUR","4.87"
"AeroCentury Corp.","ACY","2.02"
"Addex Pharmaceuticals Ltd.","ADDXF","44.83"
"Advanced Emissions Solutions, Inc.","ADES","90.97"
"American Defense Systems Inc.","ADFS","3.46"
"Adial Pharmaceuticals, Inc.","ADIL","11.87"
"ADMA Biologics Inc","ADMA","88.98"
"Adamant Dri Processing And Minerals Group","ADMG",".28"
"Adamis Pharmaceuticals Corporation","ADMP","20.4"
"Adamas Pharmaceuticals, Inc.","ADMS","55.75"
"ADM Tronics Unlimited Inc.","ADMT","11.19"
"Adocia","ADOCY","65.71"
"ADOMANI, Inc.","ADOM","6.96"
"Aduro Biotech, Inc.","ADRO","162.32"
"ADTRAN, Inc.","ADTN","247.65"
"Addex Therapeutics Ltd. Sponsored ADR","ADXN","38.54"
"Advaxis, Inc.","ADXS","32.63"
"Alliqua BioMedical, Inc.","ADYX",".64"
"Adams Resources & Energy, Inc.","AE","68.75"
"Aberdeen Emerging Markets Equity Income Fund, Inc.","AEF","242.59"
"American Energy Group Ltd.","AEGG",".72"
"Aehr Test Systems","AEHR","26.12"
"Aethlon Medical, Inc.","AEMD","15.18"
"W2 Energy Inc.","AEPT",".32"
"Applied Energetics Inc.","AERG","39.82"
"Aero Grow International Inc.","AERO","38.45"
"Black Ridge Acquisition Corporation","AESE","27.29"
"ADDvantage Technologies Group, Inc.","AEY","21.62"
"Audioeye, Inc.","AEYE","21.66"
"AEterna Zentaris Inc.","AEZS","9.87"
"Atlas Financial Holdings, Inc.","AFH","3.64"
"Armstrong Flooring, Inc.","AFI","38.31"
"Affimed N.V.","AFMD","112.84"
"Aftermaster, Inc.","AFTM",".17"
"AgeX Therapeutics, Inc.","AGE","29.23"
"AgroFresh Solutions, Inc.","AGFS","54.27"
"AEON GLOBAL HEALTH CORP","AGHC",".28"
"Aeglea BioTherapeutics, Inc.","AGLE","110.82"
"Agile Therapeutics, Inc.","AGRX","116.58"
"PlayAGS, Inc.","AGS","37.32"
"Applied Genetic Technologies Corporation","AGTC","43"
"Agritek Holdings, Inc.","AGTK",".54"
"ALLERGY THERAPT","AGYTF","89.04"
"A.H. Belo Corporation","AHC","33.27"
"COREwafer Industries Inc.","AHIX",".39"
"Athena Silver Corp.","AHNR","1.46"
"Allied Healthcare Products, Inc.","AHPI","79.2"
"Ashford Hospitality Trust Inc","AHT","49.55"
"Arlington Asset Investment Corp","AI","62.58"
"Agent Information Software Inc.","AIFS","7.59"
"Artistmss International Group Inc.","AIGI","4.24"
"Aesthetic Medical International Hldngs Group Ltd Sponsored ADR","AIH","209.92"
"Senmiao Technology Limited","AIHS","9.23"
"Spherix Incorporated","AIKI","3.02"
"Hemispherx BioPharma, Inc.","AIM","52.07"
"Ashford Inc.","AINC","13.75"
"Airgain, Inc.","AIRG","64.07"
"Air Industries Group","AIRI","20.9"
"Airspan Networks Inc.","AIRO","2.67"
"Air T, Inc.","AIRT","30.61"
"American International Ventures Inc.","AIVN","1.25"
"Great Ajax Corp.","AJX","91"
"Achaogen, Inc.","AKAOQ","1.21"
"Akers Biosciences Inc","AKER",".94"
"Asanko Gold Inc.","AKG","160.29"
"Akorn, Inc.","AKRX","65.02"
"Akoustis Technologies, Inc.","AKTS","158.25"
"Akari Therapeutics PLC","AKTX","19.55"
"Albireo Pharma, Inc.","ALBO","180.7"
"Community Capital Bancshares Inc.","ALBY","12.76"
"Alico, Inc.","ALCO","179.51"
"Aldeyra Therapeutics, Inc.","ALDX","50.72"
"Alimera Sciences, Inc.","ALIM","15.49"
"ALJ Regional Holdings, Inc.","ALJJ","31.83"
"Allin Corp.","ALLN",".01"
"Allot Communications Ltd.","ALLT","225.01"
"ALLIED MIND LTD","ALLWF","105.38"
"Alliance Semiconductor Corp.","ALMC","27.1"
"Allena Pharmaceuticals, Inc.","ALNA","16.24"
"Timmons Gold Corp","ALO","33.72"
"AstroNova, Inc.","ALOT","53.16"
"alpha-En Corporation","ALPE","23.33"
"Nivalis Therapeutics, Inc.","ALPN","44.61"
"Aileron Therapeutics, Inc.","ALRN","8.95"
"ALERUS FINL CP","ALRS","281.66"
"ALR Technologies Inc.","ALRT","9.34"
"Alseres Pharmaceuticals Inc.","ALSE",".06"
"Alaska Communications Systems Group, Inc.","ALSK","82.29"
"Absolute Software Corporation","ALSWF","208.97"
"PharmAthene, Inc","ALT","43.25"
"ALTA EQUIPMENT","ALTG","55.64"
"Altus Midstream Company","ALTM","259"
"Altex Industries Inc.","ALTX","1.1"
"Alithya Group Inc.","ALYA","62.58"
"Aly Energy Services Inc.","ALYE","1.53"
"AMAG Pharmaceuticals, Inc.","AMAG","165.5"
"Amalgamated Bank","AMAL","282.44"
"Amarillo Biosciences Inc.","AMAR","10.94"
"American Bank Inc.","AMBK","64.83"
"Ambow Education Holding Ltd.","AMBO","35.03"
"Amarantus Bioscience Holdings Inc.","AMBS","3.21"
"American Business Bank","AMBZ","169.18"
"AMC Entertainment Holdings, Inc.","AMC","257.48"
"Andatee China Marine Fuel Services Corp.","AMCF",".03"
"AMEN Properties Inc.","AMEN","30.32"
"AMB Financial Corp.","AMFC","15.93"
"AmeraMex International Inc.","AMMX","8.29"
"American National Bankshares, Inc.","AMNB","263.17"
"Armanino Foods of Distinction Inc.","AMNF","79.84"
"Applied Minerals Inc.","AMNL","1.05"
"American Sierra Gold Corp.","AMNP","6.27"
"Allied Motion Technologies, Inc.","AMOT","192.29"
"Ampio Pharmaceuticals, Inc.","AMPE","66.61"
"Amplify Energy Corp.","AMPY","20.62"
"American River Bankshares","AMRB","53.26"
"AMERI Holdings, Inc.","AMRH","1.66"
"A-Mark Precious Metals, Inc.","AMRK","61.72"
"ALTA MESA RESOURCES, INC.","AMRQQ",".8"
"Amyris, Inc.","AMRS","212.06"
"American Shared Hospital Services","AMS","7.73"
"American Superconductor Corporation","AMSC","106.02"
"Arcelormittal South Africa Ltd.","AMSIY","103.88"
"American Software, Inc.","AMSWA","289.48"
"Aemetis, Inc","AMTX","7.62"
"Amerityre Corp.","AMTY",".83"
"InfraCap MLP ETF","AMZA","55.65"
"Anchiano Therapeutics Ltd. Sponsored ADR","ANCN","4.82"
"Andrea Electronics Corp.","ANDR","1.36"
"Black Ridge Oil & Gas Inc.","ANFCD","4.99"
"Anworth Mortgage Asset  Corporation","ANH","114.75"
"ANIXA BIOSCIENCES INC","ANIX","37.6"
"AnPac Bio-Medical Science Co., Ltd. Sponsored ADR","ANPC","82.33"
"AirMedia Group Inc","ANTE","8.8"
"Anthera Pharmaceuticals, Inc.","ANTH",".73"
"Annovis Bio, Inc.","ANVS","18.64"
"Sphere 3D Corp.","ANY","1.52"
"Africa Oil Corp.","AOIFF","249.74"
"American Overseas Group Ltd.","AOREF","13.5"
"Alpha and Omega Semiconductor Limited","AOSL","164.06"
"Advanced Oxygen Technologies Inc.","AOXY",".3"
"Ampco-Pittsburgh Corporation","AP","27.98"
"Applied DNA Sciences Inc","APDN","24.26"
"Apollo Endosurgery, Inc.","APEN","32.46"
"Americas Petrogas Inc.","APEOF","5.35"
"Cherokee Inc.","APEX","1.49"
"American Power Group Corp.","APGI",".83"
"Applied Science Products Inc.","APLD",".06"
